"ID","Days.x","Soil_type.x","Soil_moisture.x","Rep","Prop_less_than_53_um","Prop_250_53_um","Prop_2000_250_um","Prop_greater_than_2mm","Mean_weight_diameter","Extractable_organic_C","Microbial_biomass_C","Total_aggregate_associated_C"
"116-Sandy-Transient-3",116,"Sandy","Transient",3,0.1,0.35,0.54,0.01,0.7,33.505,29.544,3.49
"140-Clayey-Steady-1",140,"Clayey","Steady",1,0.03,0.1,0.38,0.49,2.91,21.988,51.138,10.44
"140-Clayey-Steady-2",140,"Clayey","Steady",2,0.03,0.1,0.37,0.5,2.93,21.369,51.119,10.71
"140-Clayey-Steady-3",140,"Clayey","Steady",3,0.03,0.09,0.36,0.52,3.02,21.596,45.715,13.32
"140-Clayey-Transient-1",140,"Clayey","Transient",1,0.14,0.22,0.65,0.01,0.79,24.39,71.603,7.98
"140-Clayey-Transient-2",140,"Clayey","Transient",2,0.14,0.17,0.69,0.01,0.83,25.709,70.4,8.03
"140-Clayey-Transient-3",140,"Clayey","Transient",3,0.17,0.35,0.48,0.01,0.62,22.64,71.315,8.92
"140-Loamy-Steady-1",140,"Loamy","Steady",1,0.1,0.05,0.36,0.49,2.88,28.488,39.607,10.99
"140-Loamy-Steady-2",140,"Loamy","Steady",2,0.09,0.06,0.43,0.42,2.59,26.552,42.86,14.76
"140-Loamy-Steady-3",140,"Loamy","Steady",3,0.1,0.03,0.33,0.54,3.08,29.974,35.133,13.82
"140-Loamy-Transient-1",140,"Loamy","Transient",1,0.48,0.21,0.24,0.08,0.69,58.633,75.689,9.53
"140-Loamy-Transient-2",140,"Loamy","Transient",2,0.4,0.28,0.24,0.09,0.77,61.737,70.663,9.22
"140-Loamy-Transient-3",140,"Loamy","Transient",3,0.49,0.26,0.17,0.09,0.67,59.329,80.299,9.18
"140-Sandy-Steady-1",140,"Sandy","Steady",1,0.08,0.2,0.71,0.02,0.92,27.469,39.449,4.25
"140-Sandy-Steady-2",140,"Sandy","Steady",2,0.08,0.18,0.74,0.01,0.89,28.437,42.279,4.12
"140-Sandy-Steady-3",140,"Sandy","Steady",3,0.08,0.24,0.66,0.02,0.88,27.152,33.809,4.98
"140-Sandy-Transient-1",140,"Sandy","Transient",1,0.09,0.36,0.55,0.01,0.7,42.984,56.328,4.34
"140-Sandy-Transient-2",140,"Sandy","Transient",2,0.09,0.35,0.55,0.02,0.75,41.974,54.167,5.29
"140-Sandy-Transient-3",140,"Sandy","Transient",3,0.1,0.34,0.56,0.01,0.71,45.45,47.176,4.97
"29-Clayey-Transient-1",29,"Clayey","Transient",1,0.04,0.09,0.36,0.51,2.97,86.005,123.166,-9999
